"ContactoID","Contacto","DeudorID","AcreedorID","Sector","Telefono","Fax","Email","Horario","Direccion","CP","Localidad","Provincia","Observaciones","Replica","cuit"
100,"AZCU ENARGAS S.A",100,100,,"4952-3550/5176/9672",,,,"CORRIENTES 4403 - CAP FED",,,0,,,"30-58650747-1"
101,"RAYA BOS S.A",101,101,,"4867-0517/0061",,,,"BELAUSTEGUI 3231 - CAP FED",,,0,,,"30-10259541-8"
700,"AMALFI EMILIO",700,700,,"4867-0517/0061",,,,"PUEYRREDON 22307 - CAP FED",,,0,,,"20-20126460-3"
300,"DERQUI DANIEL HORACIO",300,300,,"4653-1000",,,,"SARMIENTO 478 - CAP FED",,,0,,,"20-12010015-5"
500,"BALAZAR MORENO",500,500,,"4867-0517/0061",,,,"AV. LIBERTADOR 16444 - MORENO - BS AS",,,0,,,"20-11537297-3"
102,"EURNEQUIÁN MARIA INES",102,102,,"4300-3285",,,,"JULIAN ALVAREZ 107 - CAP FED",,,0,,,"28-13472402-1"
103,"PAZZARIAN HENRY SEGUNDO",103,103,,"4952-3100",,,,"RIVADAVIA 499 - CAP FED",,,0,,,"20-18809382-6"
301,"BALTAZAR MEGASTO",301,301,,"4867-0517/0061",,,,"SALGUERO 4835 P.9 - CAP FED",,,0,,,"30-69468945-4"
-1,"Emporio Nacional de la Madera S.A.",-1,-1,,,,,,"Av. Gral. Paz 3883",,,0,,,"20-15779286-8"
0,"Consumidor Final",0,0,,,,,,,,,0,,,
1,"Fabrica",1,1,,,,,,"AV GRAL PAZ 3883 CIUDAD DE LA PAZ",,,0,,,"20-15779286-8"
